a,p,it,min1,max1,mean1,min2,max2,mean2
0.10,0.10,5.00,0.00,15.00,8.30,0.00,26.00,10.80
0.10,0.10,10.00,0.00,17.00,6.30,0.00,13.00,3.40
0.10,0.10,20.00,0.00,5.00,1.30,0.00,9.00,2.90
0.10,0.10,50.00,0.00,6.00,1.20,0.00,7.00,1.10
0.10,0.10,100.00,0.00,1.00,0.20,0.00,0.00,0.00
0.10,0.30,5.00,2.00,21.00,13.80,0.00,17.00,4.00
0.10,0.30,10.00,0.00,11.00,5.00,1.00,14.00,6.50
0.10,0.30,20.00,0.00,10.00,3.10,0.00,12.00,4.30
0.10,0.30,50.00,0.00,3.00,0.50,0.00,1.00,0.20
0.10,0.30,100.00,0.00,3.00,0.50,0.00,3.00,0.60
0.10,0.50,5.00,1.00,17.00,9.60,0.00,27.00,5.50
0.10,0.50,10.00,0.00,12.00,5.20,0.00,16.00,6.30
0.10,0.50,20.00,0.00,11.00,3.80,0.00,13.00,4.30
0.10,0.50,50.00,0.00,3.00,1.00,0.00,4.00,1.10
0.10,0.50,100.00,0.00,3.00,0.60,0.00,1.00,0.30
0.10,0.70,5.00,2.00,20.00,11.30,2.00,27.00,13.20
0.10,0.70,10.00,0.00,14.00,4.90,1.00,18.00,5.70
0.10,0.70,20.00,0.00,6.00,1.30,0.00,8.00,3.00
0.10,0.70,50.00,0.00,7.00,1.20,0.00,2.00,0.60
0.10,0.70,100.00,0.00,2.00,0.20,0.00,2.00,0.30
0.10,0.90,5.00,0.00,18.00,7.60,3.00,23.00,13.30
0.10,0.90,10.00,0.00,12.00,5.00,0.00,12.00,4.00
0.10,0.90,20.00,0.00,3.00,1.10,0.00,11.00,2.30
0.10,0.90,50.00,0.00,7.00,2.40,0.00,1.00,0.20
0.10,0.90,100.00,0.00,1.00,0.10,0.00,0.00,0.00
0.30,0.10,5.00,0.00,25.00,9.90,0.00,17.00,6.60
0.30,0.10,10.00,0.00,11.00,4.90,0.00,14.00,3.90
0.30,0.10,20.00,0.00,9.00,1.80,0.00,7.00,1.50
0.30,0.10,50.00,0.00,2.00,0.50,0.00,7.00,0.70
0.30,0.10,100.00,0.00,2.00,0.20,0.00,0.00,0.00
0.30,0.30,5.00,0.00,14.00,6.60,0.00,22.00,7.80
0.30,0.30,10.00,0.00,11.00,3.20,0.00,13.00,4.20
0.30,0.30,20.00,0.00,3.00,1.10,0.00,4.00,1.80
0.30,0.30,50.00,0.00,0.00,0.00,0.00,1.00,0.30
0.30,0.30,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.30,0.50,5.00,0.00,13.00,6.30,0.00,28.00,11.00
0.30,0.50,10.00,0.00,8.00,2.40,0.00,10.00,2.10
0.30,0.50,20.00,0.00,5.00,0.70,0.00,1.00,0.30
0.30,0.50,50.00,0.00,1.00,0.10,0.00,1.00,0.30
0.30,0.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.30,0.70,5.00,0.00,14.00,4.90,0.00,17.00,5.10
0.30,0.70,10.00,0.00,9.00,1.80,0.00,5.00,1.60
0.30,0.70,20.00,0.00,5.00,1.00,0.00,3.00,1.00
0.30,0.70,50.00,0.00,1.00,0.20,0.00,1.00,0.20
0.30,0.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.30,0.90,5.00,0.00,19.00,6.40,0.00,11.00,3.40
0.30,0.90,10.00,0.00,4.00,1.10,0.00,3.00,0.80
0.30,0.90,20.00,0.00,0.00,0.00,0.00,1.00,0.20
0.30,0.90,50.00,0.00,1.00,0.10,0.00,1.00,0.10
0.30,0.90,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.50,0.10,5.00,0.00,14.00,9.00,1.00,17.00,7.70
0.50,0.10,10.00,0.00,11.00,2.70,0.00,10.00,3.30
0.50,0.10,20.00,0.00,2.00,0.50,0.00,2.00,0.90
0.50,0.10,50.00,0.00,1.00,0.10,0.00,1.00,0.10
0.50,0.10,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.50,0.30,5.00,0.00,12.00,5.50,0.00,9.00,2.70
0.50,0.30,10.00,0.00,12.00,2.90,0.00,7.00,1.10
0.50,0.30,20.00,0.00,1.00,0.20,0.00,3.00,0.70
0.50,0.30,50.00,0.00,1.00,0.10,0.00,0.00,0.00
